,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
21808,30.5051334702,26.546201231999998,5,128,R,R,175,183,100113,100203,CZE,AUS,,Phil Dent,10,Jan Kodes,25,33,1,1,1976
21810,29.6700889802,22.1683778234,5,128,R,L,175,201,100128,100339,USA,USA,,Victor Amaya,12,Cliff Richey,38,86,1,1,1976
21811,19.6851471595,23.956194387399997,5,128,R,R,178,168,100461,100286,USA,USA,,Harold Solomon,13,Billy Martin,64,12,1,1,1976
21813,34.2861054073,21.6919917864,5,128,R,R,183,190,100067,100360,RSA,USA,,Brian Teacher,15,Frew Mcmillan,73,109,1,1,1976
21815,24.041067761799997,21.2950034223,5,128,L,R,180,185,100282,100378,ARG,USA,,David Schneider,17,Guillermo Vilas,3,272,1,1,1976
21823,23.2005475702,26.9760438056,5,128,R,R,183,180,100309,100185,MEX,FRA,,Patrick Proisy,25,Raul Ramirez,10,51,1,1,1976
21831,24.3997262149,22.7159479808,5,128,R,R,183,193,100273,100321,AUS,IND,,Vijay Amritraj,33,Kim Warwick,68,23,1,1,1976
21834,24.8815879535,27.1211498973,5,128,L,R,183,173,100255,100182,USA,USA,,Mike Estep,36,Roscoe Tanner,13,84,1,1,1976
21838,30.12183436,29.3826146475,5,128,R,R,183,188,100119,100135,ROU,NZL,,Onny Parun,40,Ilie Nastase,7,29,1,1,1976
21840,24.0629705681,28.4599589322,5,128,R,R,180,188,100281,100158,IND,AUS,,John Bartlett,42,Sashi Menon,100,136,1,1,1976
21842,30.0232717317,24.079397672800003,5,128,R,R,183,183,100121,100280,RSA,POL,,Wojtek Fibak,44,Raymond Moore,44,32,1,1,1976
21846,26.1492128679,31.40862423,5,128,R,R,183,196,100214,100098,ITA,SWE,,Ove Nils Bengtson,48,Adriano Panatta,6,210,1,1,1976
21848,25.514031485300002,22.573579739899998,5,128,R,R,170,180,100233,100324,ARG,USA,,John Whitlinger,50,Ricardo Cano,49,83,1,1,1976
21850,29.7166324435,26.6036960986,5,128,R,R,193,188,100126,100201,USA,AUS,,Syd Ball,52,Stan Smith,24,89,1,1,1976
21856,23.5044490075,21.2457221081,5,128,R,R,178,193,100300,100380,ESP,USA,,Butch Walts,58,Jose Higueras,41,272,1,1,1976
21863,23.9972621492,21.6125941136,5,128,L,R,178,196,100284,100362,USA,USA,,Peter Fleming,65,Jimmy Connors,1,148,2,1,1976
21865,22.1026694045,25.2594113621,5,128,R,R,183,175,100342,100243,USA,USA,,Steve Krulevitz,67,Vitas Gerulaitis,22,107,2,1,1976
