,age1,age2,best_of,draw_size,ht1,ht2,ioc1,ioc2,match_num,rank1,rank2,round,win,year
55691,23.578370978800002,19.151266256,5,96,178,185,USA,AUS,43,145,317,2,1,1984
55692,27.698836413400002,22.119096509200002,5,96,180,193,USA,ISR,44,62,80,2,1,1984
55693,22.8145106092,24.659822039699996,5,96,185,173,USA,USA,45,38,95,2,1,1984
55694,19.8932238193,30.9514031485,5,96,190,193,FRA,IND,46,44,41,2,1,1984
55695,26.869267624899997,32.6351813826,5,96,193,183,USA,AUS,47,137,221,2,1,1984
55696,31.1321013005,25.2676249144,5,96,193,183,USA,USA,48,115,57,2,1,1984
55697,17.0130047912,24.314852840500002,5,96,190,190,GER,USA,49,108,19,2,1,1984
55698,19.5017111567,25.9028062971,5,96,183,185,AUS,USA,50,11,169,2,1,1984
55699,20.038329910999998,32.9911019849,5,96,188,183,SUI,AUT,51,89,186,2,1,1984
55700,33.2183436003,22.0944558522,5,96,180,185,USA,RSA,52,88,150,2,1,1984
55701,28.186173853499998,30.250513347,5,96,188,178,USA,GBR,53,35,23,2,1,1984
55702,25.412731006199998,26.1273100616,5,96,188,185,USA,USA,54,30,234,2,1,1984
55703,19.3976728268,21.4373716632,5,96,173,188,AUS,USA,55,84,217,2,1,1984
55704,22.995208761100002,26.078028747399998,5,96,180,183,NZL,USA,56,139,145,2,1,1984
55705,26.6447638604,26.3572895277,5,96,175,185,USA,AUS,57,15,73,2,1,1984
55706,18.8528405202,26.031485284099997,5,96,188,183,SWE,USA,58,22,54,2,1,1984
